Name	Number	BeamID	E	N	U

ANT00	0	0	40.0	0.0	0.0
ANT01	1	0	80.0	0.0	0.0
ANT02	2	0	120.0	0.0	0.0
ANT03	3	0	160.0	0.0	0.0
ANT04	4	0	200.0	0.0	0.0
ANT05	5	0	240.0	0.0	0.0
ANT06	6	0	280.0	0.0	0.0
ANT07	7	0	320.0	0.0	0.0
ANT08	8	0	360.0	0.0	0.0
ANT09	9	0	400.0	0.0	0.0
ANT10	10	0	440.0	0.0	0.0
ANT11	11	0	480.0	0.0	0.0
ANT12	12	0	520.0	0.0	0.0
ANT13	13	0	560.0	0.0	0.0
ANT14	14	0	600.0	0.0	0.0
ANT15	15	0	640.0	0.0	0.0
ANT16	16	0	680.0	0.0	0.0
ANT17	17	0	720.0	0.0	0.0
ANT18	18	0	760.0	0.0	0.0
ANT19	19	0	800.0	0.0	0.0
ANT20	20	0	840.0	0.0	0.0
ANT21	21	0	880.0	0.0	0.0
ANT22	22	0	920.0	0.0	0.0
ANT23	23	0	960.0	0.0	0.0
ANT24	24	0	1000.0	0.0	0.0
ANT25	25	0	0.0	40.0	0.0
ANT26	26	0	0.0	80.0	0.0
ANT27	27	0	0.0	120.0	0.0
ANT28	28	0	0.0	160.0	0.0
ANT29	29	0	0.0	200.0	0.0
ANT30	30	0	0.0	240.0	0.0
ANT31	31	0	0.0	280.0	0.0
ANT32	32	0	0.0	320.0	0.0
ANT33	33	0	0.0	360.0	0.0
ANT34	34	0	0.0	400.0	0.0
ANT35	35	0	0.0	440.0	0.0
ANT36	36	0	0.0	480.0	0.0
ANT37	37	0	0.0	520.0	0.0
ANT38	38	0	0.0	560.0	0.0
ANT39	39	0	0.0	600.0	0.0
ANT40	40	0	0.0	640.0	0.0
ANT41	41	0	0.0	680.0	0.0
ANT42	42	0	0.0	720.0	0.0
ANT43	43	0	0.0	760.0	0.0
ANT44	44	0	0.0	800.0	0.0
ANT45	45	0	0.0	840.0	0.0
ANT46	46	0	0.0	880.0	0.0
ANT47	47	0	0.0	920.0	0.0
ANT48	48	0	0.0	960.0	0.0
ANT49	49	0	0.0	1000.0	0.0
